Date,Open,High,Low,Close,Adj Close,Volume,,
01/12/2003,1.723811,1.834391,1.717298,1.788813,1.788813,0,,
01/01/2004,1.788813,1.857804,1.764104,1.824485,1.824485,0,,
01/02/2004,1.824485,1.914095,1.814191,1.874485,1.874485,0,,https://fr.finance.yahoo.com/quote/GBPUSD%3DX?p=GBPUSD%3DX&.tsrc=fin-srch
01/03/2004,1.874204,1.875012,1.791408,1.843386,1.843386,0,,
01/04/2004,1.843012,1.859393,1.758891,1.7786,1.7786,0,,
01/05/2004,1.7786,1.842197,1.74871,1.83261,1.83261,0,,
01/06/2004,1.83261,1.8486,1.801899,1.820201,1.820201,0,,
01/07/2004,1.820201,1.877194,1.810086,1.822091,1.822091,0,,
01/08/2004,1.822091,1.846483,1.785906,1.802484,1.802484,0,,
01/09/2004,1.802484,1.815805,1.77151,1.812809,1.812809,0,,
01/10/2004,1.812908,1.845086,1.775095,1.841485,1.841485,0,,
01/11/2004,1.841383,1.913107,1.830496,1.9096,1.9096,0,,
01/12/2004,1.9096,1.954881,1.902805,1.919791,1.919791,0,,
01/01/2005,1.919791,1.920418,1.853499,1.884197,1.884197,0,,
01/02/2005,1.884304,1.926114,1.851612,1.919202,1.919202,0,,
01/03/2005,1.919312,1.932404,1.860015,1.889502,1.889502,0,,
01/04/2005,1.889395,1.921599,1.867693,1.908798,1.908798,0,,
01/05/2005,1.908798,1.90949,1.812612,1.817686,1.817686,0,,
01/06/2005,1.817686,1.839216,1.787885,1.790286,1.790286,0,,
01/07/2005,1.790414,1.790703,1.728011,1.754386,1.754386,0,,
01/08/2005,1.754601,1.817686,1.754509,1.803394,1.803394,0,,
01/09/2005,1.803199,1.850105,1.757315,1.764602,1.764602,0,,
01/10/2005,1.764602,1.790094,1.739614,1.768784,1.768784,0,,
01/11/2005,1.768691,1.778885,1.70599,1.730912,1.730912,0,,
01/12/2005,1.731002,1.78069,1.714002,1.720697,1.720697,0,,
01/01/2006,1.720697,1.793014,1.718213,1.7786,1.7786,0,,
01/02/2006,1.77879,1.78161,1.728997,1.754201,1.754201,0,,
01/03/2006,1.753801,1.762208,1.7239,1.73771,1.73771,0,,
01/04/2006,1.73771,1.826684,1.725715,1.824285,1.824285,0,,
01/05/2006,1.824185,1.901285,1.821096,1.871608,1.871608,0,,
01/06/2006,1.871503,1.887683,1.809791,1.84901,1.84901,0,,
01/07/2006,1.84901,1.868984,1.818413,1.868216,1.868216,0,,
01/08/2006,1.868216,1.913692,1.863204,1.903094,1.903094,0,,
01/09/2006,1.902986,1.908215,1.861088,1.871713,1.871713,0,,
01/10/2006,1.871713,1.909782,1.852401,1.908288,1.908288,0,,
01/11/2006,1.908215,1.969551,1.884197,1.966414,1.966414,0,,
01/12/2006,1.9668,1.984009,1.943899,1.959209,1.959209,0,,
01/01/2007,1.959209,1.991437,1.927005,1.963402,1.963402,0,,
01/02/2007,1.964096,1.991001,1.940805,1.964019,1.964019,0,,
01/03/2007,1.964096,1.972192,1.918797,1.968194,1.968194,0,,
01/04/2007,1.968194,2.013004,1.959593,2,2,0,,
01/05/2007,2,2.007307,1.96831,1.979806,1.979806,0,,
01/06/2007,1.979884,2.01001,1.963094,2.008314,2.008314,0,,
01/07/2007,2.008314,2.065092,2.006501,2.029386,2.029386,0,,
01/08/2007,2.028892,2.045994,1.967303,2.017186,2.017186,0,,
01/09/2007,2.017186,2.048718,1.988388,2.045785,2.045785,0,,
01/10/2007,2.045617,2.082119,2.025316,2.07978,2.07978,0,,
01/11/2007,2.079607,2.11582,2.036204,2.056682,2.056682,0,,
01/12/2007,2.056682,2.067996,1.970094,1.98661,1.98661,0,,
01/01/2008,1.985506,1.994416,1.949204,1.990604,1.990604,0,,
01/02/2008,1.990485,1.997284,1.936783,1.98661,1.98661,0,,
01/03/2008,1.987084,2.039318,1.972581,1.984206,1.984206,0,,
01/04/2008,1.978005,2.003205,1.9604,1.987795,1.987795,0,,
01/05/2008,1.978709,1.989733,1.938097,1.979492,1.979492,0,,
01/06/2008,1.974607,1.996606,1.941785,1.992985,1.992985,0,,
01/07/2008,1.994615,2.013288,1.965486,1.983104,1.983104,0,,
01/08/2008,1.982514,1.984284,1.808907,1.810512,1.810512,0,,
01/09/2008,1.81061,1.866298,1.745292,1.782086,1.782086,0,,
01/10/2008,1.782785,1.787086,1.529496,1.607304,1.607304,0,,
01/11/2008,1.607304,1.639613,1.459194,1.534778,1.534778,0,,
01/12/2008,1.535367,1.571512,1.440279,1.46561,1.46561,0,,
01/01/2009,1.449695,1.536004,1.352997,1.441296,1.441296,0,,
01/02/2009,1.441296,1.497096,1.405995,1.427796,1.427796,0,,
01/03/2009,1.427796,1.477148,1.366512,1.434494,1.434494,0,,
01/04/2009,1.434597,1.506478,1.428,1.478809,1.478809,0,,
01/05/2009,1.479202,1.623508,1.475906,1.617861,1.617861,0,,
01/06/2009,1.617887,1.674201,1.580578,1.646687,1.646687,0,,
01/07/2009,1.646768,1.670509,1.598696,1.670509,1.670509,0,,
01/08/2009,1.671402,1.700507,1.622692,1.629195,1.629195,0,,
01/09/2009,1.616135,1.668112,1.582829,1.600205,1.600205,0,,
01/10/2009,1.592002,1.663395,1.580803,1.644791,1.644791,0,,
01/11/2009,1.644791,1.687792,1.626519,1.645793,1.645793,0,,
01/12/2009,1.645603,1.672213,1.583908,1.618202,1.618202,0,,
01/01/2010,1.618202,1.645765,1.590078,1.597597,1.597597,0,,
01/02/2010,1.597393,1.606994,1.513409,1.51805,1.51805,0,,
