Date,Open,High,Low,Close,Adj Close,Volume
1999-01-04,0.711400,0.715700,0.699900,0.700500,0.700500,0
1999-01-11,0.705000,0.711400,0.698300,0.700500,0.700500,0
1999-01-18,0.701500,0.704500,0.696500,0.700000,0.700000,0
1999-01-25,0.700000,0.701100,0.688900,0.690500,0.690500,0
1999-02-01,0.696200,0.697000,0.685300,0.690200,0.690200,0
1999-02-08,0.690000,0.698700,0.686700,0.690800,0.690800,0
1999-02-15,0.692100,0.692700,0.679100,0.683500,0.683500,0
1999-02-22,0.681100,0.690400,0.675600,0.690200,0.690200,0
1999-03-01,0.687300,0.689000,0.670400,0.675800,0.675800,0
1999-03-08,0.675600,0.680000,0.663800,0.667500,0.667500,0
1999-03-15,0.668300,0.678100,0.667300,0.669500,0.669500,0
1999-03-22,0.669100,0.671900,0.661000,0.662600,0.662600,0
1999-03-29,0.662500,0.676800,0.660000,0.672700,0.672700,0
1999-04-05,0.672100,0.681600,0.667100,0.671700,0.671700,0
1999-04-12,0.672700,0.673000,0.659000,0.662200,0.662200,0
1999-04-19,0.662300,0.663300,0.655300,0.656600,0.656600,0
1999-04-26,0.656900,0.660400,0.654700,0.657700,0.657700,0
1999-05-03,0.658000,0.661700,0.651300,0.659800,0.659800,0
1999-05-10,0.657800,0.665200,0.654600,0.658000,0.658000,0
1999-05-17,0.658000,0.661800,0.655800,0.659500,0.659500,0
1999-05-24,0.659900,0.664900,0.649200,0.652200,0.652200,0
1999-05-31,0.651900,0.654000,0.639600,0.643000,0.643000,0
1999-06-07,0.643500,0.656400,0.637800,0.649600,0.649600,0
1999-06-14,0.649700,0.655200,0.645500,0.651300,0.651300,0
1999-06-21,0.651000,0.659400,0.647200,0.656700,0.656700,0
1999-06-28,0.656700,0.658100,0.647000,0.649200,0.649200,0
1999-07-05,0.649600,0.658900,0.640200,0.657200,0.657200,0
1999-07-12,0.657200,0.657300,0.649700,0.651500,0.651500,0
1999-07-19,0.651300,0.668400,0.648800,0.665600,0.665600,0
1999-07-26,0.665600,0.674200,0.657500,0.659100,0.659100,0
1999-08-02,0.658900,0.668400,0.656500,0.657700,0.657700,0
1999-08-09,0.657400,0.668900,0.655000,0.658400,0.658400,0
1999-08-16,0.658400,0.661600,0.653200,0.660200,0.660200,0
1999-08-23,0.660100,0.667700,0.650500,0.658900,0.658900,0
1999-08-30,0.659000,0.665500,0.654800,0.658400,0.658400,0
1999-09-06,0.658300,0.662300,0.638800,0.639600,0.639600,0
1999-09-13,0.639600,0.649500,0.637300,0.641500,0.641500,0
1999-09-20,0.641500,0.644700,0.634100,0.636000,0.636000,0
1999-09-27,0.633400,0.652300,0.631300,0.648100,0.648100,0
1999-10-04,0.648000,0.650500,0.641100,0.643100,0.643100,0
1999-10-11,0.643000,0.653400,0.641000,0.652600,0.652600,0
1999-10-18,0.652700,0.656200,0.641000,0.645400,0.645400,0
1999-10-25,0.645300,0.666000,0.636800,0.641300,0.641300,0
1999-11-01,0.641600,0.645100,0.634700,0.643400,0.643400,0
1999-11-08,0.643300,0.644300,0.636700,0.639200,0.639200,0
1999-11-15,0.639200,0.642000,0.634000,0.635900,0.635900,0
1999-11-22,0.635800,0.637700,0.626600,0.631600,0.631600,0
1999-11-29,0.631000,0.634100,0.624000,0.625400,0.625400,0
1999-12-06,0.625500,0.633200,0.622700,0.624700,0.624700,0
1999-12-13,0.624800,0.633100,0.619700,0.628000,0.628000,0
1999-12-20,0.627500,0.631400,0.624000,0.626100,0.626100,0
1999-12-27,0.626800,0.628600,0.619200,0.622100,0.622100,0
2000-01-03,0.623900,0.633000,0.620300,0.627200,0.627200,0
2000-01-10,0.627100,0.629000,0.618100,0.619700,0.619700,0
2000-01-17,0.620000,0.622500,0.607200,0.609000,0.609000,0
2000-01-24,0.609100,0.612710,0.599000,0.602700,0.602700,0
2000-01-31,0.602100,0.626700,0.598000,0.615800,0.615800,0
2000-02-07,0.616600,0.620900,0.610200,0.619200,0.619200,0
2000-02-14,0.619200,0.623200,0.611700,0.615700,0.615700,0
2000-02-21,0.616100,0.626500,0.610000,0.611400,0.611400,0
2000-02-28,0.611700,0.617400,0.592900,0.606000,0.606000,0
2000-03-06,0.605900,0.613200,0.602000,0.610200,0.610200,0
2000-03-13,0.610300,0.618600,0.609400,0.617400,0.617400,0
2000-03-20,0.617400,0.621000,0.607800,0.613300,0.613300,0
2000-03-27,0.613300,0.614100,0.594900,0.600800,0.600800,0
2000-04-03,0.600900,0.610500,0.595800,0.603600,0.603600,0
2000-04-10,0.603700,0.609500,0.598600,0.607200,0.607200,0
2000-04-17,0.607100,0.608300,0.591200,0.593800,0.593800,0
2000-04-24,0.594400,0.597700,0.574300,0.586300,0.586300,0
2000-05-01,0.586900,0.592100,0.567900,0.587600,0.587600,0
2000-05-08,0.588300,0.608300,0.581700,0.603700,0.603700,0
2000-05-15,0.603600,0.608400,0.595800,0.603600,0.603600,0
2000-05-22,0.603700,0.631700,0.602800,0.625200,0.625200,0
2000-05-29,0.625300,0.628500,0.619600,0.625500,0.625500,0
2000-06-05,0.625300,0.637700,0.621800,0.631700,0.631700,0
2000-06-12,0.631600,0.641600,0.625700,0.636100,0.636100,0
2000-06-19,0.636400,0.639390,0.617500,0.623100,0.623100,0
2000-06-26,0.623000,0.634500,0.618500,0.626800,0.626800,0
2000-07-03,0.627200,0.636100,0.624800,0.625400,0.625400,0
2000-07-10,0.626700,0.631510,0.620500,0.625500,0.625500,0
2000-07-17,0.624800,0.628100,0.614100,0.616600,0.616600,0
2000-07-24,0.616400,0.623000,0.612700,0.614600,0.614600,0
2000-07-31,0.614000,0.619800,0.599800,0.602700,0.602700,0
2000-08-07,0.602500,0.607800,0.596000,0.600900,0.600900,0
2000-08-14,0.600900,0.613400,0.597600,0.608400,0.608400,0
2000-08-21,0.608900,0.615000,0.601100,0.613000,0.613000,0
2000-08-28,0.613000,0.617600,0.601400,0.615300,0.615300,0
2000-09-04,0.615100,0.616900,0.600800,0.611200,0.611200,0
2000-09-11,0.611100,0.617300,0.603900,0.609800,0.609800,0
2000-09-18,0.609900,0.612900,0.593100,0.604300,0.604300,0
2000-09-25,0.604200,0.606600,0.595000,0.598600,0.598600,0
2000-10-02,0.598500,0.603000,0.596700,0.600100,0.600100,0
2000-10-09,0.600500,0.601900,0.583800,0.588300,0.588300,0
2000-10-16,0.588200,0.592300,0.577500,0.578500,0.578500,0
2000-10-23,0.578600,0.587600,0.573100,0.578400,0.578400,0
2000-10-30,0.578300,0.604400,0.577100,0.598000,0.598000,0
2000-11-06,0.598200,0.607900,0.594000,0.604000,0.604000,0
2000-11-13,0.604200,0.605200,0.594100,0.596600,0.596600,0
2000-11-20,0.596700,0.602400,0.593000,0.598900,0.598900,0
2000-11-27,0.598800,0.614300,0.595200,0.610000,0.610000,0
2000-12-04,0.609900,0.620800,0.607900,0.609700,0.609700,0
2000-12-11,0.609800,0.617900,0.600000,0.607000,0.607000,0
2000-12-18,0.606800,0.626300,0.605000,0.624500,0.624500,0
2000-12-25,0.624600,0.631000,0.620000,0.629400,0.629400,0
2001-01-01,0.629400,0.637700,0.621000,0.637200,0.637200,0
2001-01-08,0.636900,0.644800,0.628900,0.642000,0.642000,0
2001-01-15,0.641900,0.643500,0.630400,0.638500,0.638500,0
2001-01-22,0.638600,0.642800,0.628600,0.632100,0.632100,0
2001-01-29,0.632300,0.642800,0.626800,0.637100,0.637100,0
2001-02-05,0.636500,0.640800,0.633600,0.639900,0.639900,0
2001-02-12,0.640000,0.642100,0.621600,0.630200,0.630200,0
2001-02-19,0.630400,0.638300,0.623700,0.630900,0.630900,0
2001-02-26,0.631100,0.641300,0.626500,0.636300,0.636300,0
2001-03-05,0.636300,0.638500,0.630400,0.635200,0.635200,0
2001-03-12,0.635100,0.636900,0.621600,0.626400,0.626400,0
2001-03-19,0.626300,0.634500,0.621500,0.622900,0.622900,0
2001-03-26,0.622800,0.626000,0.612700,0.618200,0.618200,0
2001-04-02,0.618300,0.631400,0.613900,0.626800,0.626800,0
2001-04-09,0.626900,0.628000,0.614700,0.618800,0.618800,0
2001-04-16,0.618900,0.626700,0.612100,0.625500,0.625500,0
2001-04-23,0.625400,0.627900,0.617800,0.621100,0.621100,0
2001-04-30,0.621200,0.625000,0.618300,0.620700,0.620700,0
2001-05-07,0.620800,0.624700,0.615600,0.616800,0.616800,0
2001-05-14,0.616900,0.621800,0.610400,0.611100,0.611100,0
2001-05-21,0.612000,0.612000,0.601000,0.604700,0.604700,0
2001-05-28,0.604800,0.605700,0.595000,0.596700,0.596700,0
2001-06-04,0.596800,0.617200,0.595800,0.613500,0.613500,0
2001-06-11,0.613400,0.653500,0.609400,0.614100,0.614100,0
2001-06-18,0.613900,0.616100,0.600000,0.606400,0.606400,0
2001-06-25,0.606500,0.612500,0.598300,0.600400,0.600400,0
2001-07-02,0.600300,0.604000,0.594600,0.600100,0.600100,0
2001-07-09,0.600200,0.610500,0.599800,0.608700,0.608700,0
2001-07-16,0.607800,0.618000,0.606900,0.610700,0.610700,0
2001-07-23,0.610800,0.617500,0.608200,0.615300,0.615300,0
2001-07-30,0.615400,0.620400,0.612000,0.618700,0.618700,0
2001-08-06,0.618000,0.628400,0.615900,0.627700,0.627700,0
2001-08-13,0.627600,0.636000,0.626800,0.634400,0.634400,0
2001-08-20,0.634200,0.636200,0.620100,0.632100,0.632100,0
2001-08-27,0.632000,0.632300,0.623900,0.625400,0.625400,0
2001-09-03,0.625100,0.627100,0.606700,0.620200,0.620200,0
2001-09-10,0.620100,0.629500,0.613900,0.625800,0.625800,0
2001-09-17,0.625900,0.634300,0.622800,0.627400,0.627400,0
2001-09-24,0.627700,0.629300,0.616500,0.618300,0.618300,0
2001-10-01,0.618200,0.628400,0.615500,0.619400,0.619400,0
2001-10-08,0.619300,0.629900,0.618600,0.627800,0.627800,0
2001-10-15,0.627900,0.629400,0.621600,0.626500,0.626500,0
2001-10-22,0.626700,0.627300,0.619900,0.621200,0.621200,0
2001-10-29,0.620800,0.624400,0.613100,0.617100,0.617100,0
2001-11-05,0.616400,0.617300,0.611300,0.613800,0.613800,0
2001-11-12,0.613800,0.620200,0.609400,0.619100,0.619100,0
2001-11-19,0.619000,0.625700,0.617500,0.622300,0.622300,0
2001-11-26,0.622400,0.629900,0.620600,0.628700,0.628700,0
2001-12-03,0.628700,0.629900,0.619700,0.620600,0.620600,0
2001-12-10,0.620600,0.623300,0.618000,0.621300,0.621300,0
2001-12-17,0.621200,0.622600,0.615300,0.617100,0.617100,0
2001-12-24,0.617000,0.618600,0.603800,0.610100,0.610100,0
2001-12-31,0.609400,0.628000,0.608500,0.618900,0.618900,0
2002-01-07,0.619000,0.622000,0.614900,0.616900,0.616900,0
2002-01-14,0.616900,0.618000,0.612000,0.615400,0.615400,0
2002-01-21,0.615300,0.621300,0.611400,0.613400,0.613400,0
2002-01-28,0.613400,0.614700,0.606600,0.609000,0.609000,0
2002-02-04,0.608900,0.619500,0.607100,0.615900,0.615900,0
2002-02-11,0.615800,0.617800,0.608000,0.609600,0.609600,0
2002-02-18,0.609600,0.613500,0.608300,0.611200,0.611200,0
2002-02-25,0.611100,0.613900,0.608200,0.610000,0.610000,0
